Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,1.69,9.01,-3.14,-9.62,-10.05,-9.21,18.31,,,32,,0.32512,47.83561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5582,2.63,9.1,-3.19,-15.25,-3.66,-5.25,18.31,,,33,,0.28832,48.12393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5615,2.83,8.04,-5.75,-23.05,-25.11,-1.53,18.31,,,32,,0.3003,48.42423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5647,1.42,9.5,-4.09,-28.02,33.1,-0.7,18.29,,,32,,0.25728,48.68151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679,2.66,8.84,-3.15,-30.81,50.76,1.56,18.32,,,33,,0.304,48.98551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5712,2.48,9.27,-2.6,-31.16,1.53,5.48,18.31,,,35,,0.29172,49.27723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5747,1.26,9.82,-2.05,-25.88,28.49,5.01,18.31,,,33,,0.32445,49.60168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5780,2.22,9.64,-1.65,-19.18,21.94,2.41,18.3,,,32,,0.32406,49.92574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5812,3.01,8.77,-1.71,-12.15,0.26,-1.89,18.31,,,32,,0.30848,50.23422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5844,2.72,8.83,-2.59,-5.71,14.23,-7.68,18.3,,,32,,0.28064,50.51486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5876,1.3,10.55,-1.74,1.95,52.95,-12.61,18.31,,,33,,0.28256,50.79742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909,2.32,9.27,-2.41,9.16,29.19,-13.88,18.3,,,32,,0.34815,51.14557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5941,2.23,9.78,-2.4,15.07,17.48,-14.79,18.32,,,32,,0.29664,51.44221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5973,1.86,9.92,-2.66,18.84,21.04,-16.56,18.32,,,33,,0.31296,51.75517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
